# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2008-07-07 06:40:32 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 02169810 SANTEE R AT TREZESVANTS LANDING NR FT MOTTE, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02169810
#    DD parameter   Description
#    01   00065     Gage height, feet
#
agency_cd	site_no	datetime	01_00065	01_00065_cd
USGS	02169810	2008-06-06 09:45	74.29	
USGS	02169810	2008-06-06 10:00	74.27	
USGS	02169810	2008-06-06 10:15	74.26	
USGS	02169810	2008-06-06 10:30	74.27	
USGS	02169810	2008-06-06 10:45	74.27	
USGS	02169810	2008-06-06 11:00	74.26	
USGS	02169810	2008-06-06 11:15	74.26	
USGS	02169810	2008-06-06 11:30	74.26	
USGS	02169810	2008-06-06 11:45	74.26	
USGS	02169810	2008-06-06 12:00	74.26	
USGS	02169810	2008-06-06 12:15	74.27	
USGS	02169810	2008-06-06 12:30	74.27	
USGS	02169810	2008-06-06 12:45	74.28	
USGS	02169810	2008-06-06 13:00	74.28	
USGS	02169810	2008-06-06 13:15	74.29	
USGS	02169810	2008-06-06 13:30	74.28	
USGS	02169810	2008-06-06 13:45	74.28	
USGS	02169810	2008-06-06 14:00	74.29	
USGS	02169810	2008-06-06 14:15	74.29	
USGS	02169810	2008-06-06 14:30	74.28	
USGS	02169810	2008-06-06 14:45	74.30	
USGS	02169810	2008-06-06 15:00	74.30	
USGS	02169810	2008-06-06 15:15	74.31	
USGS	02169810	2008-06-06 15:30	74.31	
USGS	02169810	2008-06-06 15:45	74.31	
USGS	02169810	2008-06-06 16:00	74.32	
USGS	02169810	2008-06-06 16:15	74.31	
USGS	02169810	2008-06-06 16:30	74.31	
USGS	02169810	2008-06-06 16:45	74.31	
USGS	02169810	2008-06-06 17:00	74.31	
USGS	02169810	2008-06-06 17:15	74.32	
USGS	02169810	2008-06-06 17:30	74.32	
USGS	02169810	2008-06-06 17:45	74.31	
USGS	02169810	2008-06-06 18:00	74.32	
USGS	02169810	2008-06-06 18:15	74.32	
USGS	02169810	2008-06-06 18:30	74.33	
USGS	02169810	2008-06-06 18:45	74.33	
USGS	02169810	2008-06-06 19:00	74.34	
USGS	02169810	2008-06-06 19:15	74.33	
USGS	02169810	2008-06-06 19:30	74.33	
USGS	02169810	2008-06-06 19:45	74.32	
USGS	02169810	2008-06-06 20:00	74.33	
USGS	02169810	2008-06-06 20:15	74.31	
USGS	02169810	2008-06-06 20:30	74.31	
USGS	02169810	2008-06-06 20:45	74.33	
USGS	02169810	2008-06-06 21:00	74.32	
USGS	02169810	2008-06-06 21:15	74.32	
USGS	02169810	2008-06-06 21:30	74.34	
USGS	02169810	2008-06-06 21:45	74.34	
USGS	02169810	2008-06-06 22:00	74.34	
USGS	02169810	2008-06-06 22:15	74.36	
USGS	02169810	2008-06-06 22:30	74.34	
USGS	02169810	2008-06-06 22:45	74.35	
USGS	02169810	2008-06-06 23:00	74.35	
USGS	02169810	2008-06-06 23:15	74.35	
USGS	02169810	2008-06-06 23:30	74.35	
USGS	02169810	2008-06-06 23:45	74.35	
USGS	02169810	2008-06-07 00:00	74.34	
USGS	02169810	2008-06-07 00:15	74.34	
USGS	02169810	2008-06-07 00:30	74.34	
USGS	02169810	2008-06-07 00:45	74.34	
USGS	02169810	2008-06-07 01:00	74.33	
USGS	02169810	2008-06-07 01:15	74.33	
USGS	02169810	2008-06-07 01:30	74.32	
USGS	02169810	2008-06-07 01:45	74.32	
USGS	02169810	2008-06-07 02:00	74.30	
USGS	02169810	2008-06-07 02:15	74.30	
USGS	02169810	2008-06-07 02:30	74.29	
USGS	02169810	2008-06-07 02:45	74.28	
USGS	02169810	2008-06-07 03:00	74.28	
USGS	02169810	2008-06-07 03:15	74.27	
USGS	02169810	2008-06-07 03:30	74.27	
USGS	02169810	2008-06-07 03:45	74.26	
USGS	02169810	2008-06-07 04:00	74.26	
USGS	02169810	2008-06-07 04:15	74.26	
USGS	02169810	2008-06-07 04:30	74.26	
USGS	02169810	2008-06-07 04:45	74.27	
USGS	02169810	2008-06-07 05:00	74.26	
USGS	02169810	2008-06-07 05:15	74.26	
USGS	02169810	2008-06-07 05:30	74.26	
USGS	02169810	2008-06-07 05:45	74.26	
USGS	02169810	2008-06-07 06:00	74.26	
USGS	02169810	2008-06-07 06:15	74.25	
USGS	02169810	2008-06-07 06:30	74.25	
USGS	02169810	2008-06-07 06:45	74.25	
USGS	02169810	2008-06-07 07:00	74.24	
USGS	02169810	2008-06-07 07:15	74.24	
USGS	02169810	2008-06-07 07:30	74.30	
USGS	02169810	2008-06-07 07:45	74.24	
USGS	02169810	2008-06-07 08:00	74.21	
USGS	02169810	2008-06-07 08:15	74.23	
USGS	02169810	2008-06-07 08:30	74.23	
USGS	02169810	2008-06-07 08:45	74.27	
USGS	02169810	2008-06-07 09:00	74.23	
USGS	02169810	2008-06-07 09:15	74.22	
USGS	02169810	2008-06-07 09:30	74.23	
USGS	02169810	2008-06-07 09:45	74.21	
USGS	02169810	2008-06-07 10:00	74.23	
USGS	02169810	2008-06-07 10:15	74.22	
USGS	02169810	2008-06-07 10:30	74.21	
USGS	02169810	2008-06-07 10:45	74.20	
USGS	02169810	2008-06-07 11:00	74.20	
USGS	02169810	2008-06-07 11:15	74.20	
USGS	02169810	2008-06-07 11:30	74.19	
USGS	02169810	2008-06-07 11:45	74.19	
USGS	02169810	2008-06-07 12:00	74.19	
USGS	02169810	2008-06-07 12:15	74.18	
USGS	02169810	2008-06-07 12:30	74.19	
USGS	02169810	2008-06-07 12:45	74.19	
USGS	02169810	2008-06-07 13:00	74.19	
USGS	02169810	2008-06-07 13:15	74.19	
USGS	02169810	2008-06-07 13:30	74.26	
USGS	02169810	2008-06-07 13:45	74.20	
USGS	02169810	2008-06-07 14:00	74.20	
USGS	02169810	2008-06-07 14:15	74.18	
USGS	02169810	2008-06-07 14:30	74.31	
USGS	02169810	2008-06-07 14:45	74.21	
USGS	02169810	2008-06-07 15:00	74.17	
USGS	02169810	2008-06-07 15:15	74.23	
USGS	02169810	2008-06-07 15:30	74.22	
USGS	02169810	2008-06-07 15:45	74.29	
USGS	02169810	2008-06-07 16:00	74.24	
USGS	02169810	2008-06-07 16:15	74.24	
USGS	02169810	2008-06-07 16:30	74.22	
USGS	02169810	2008-06-07 16:45	74.25	
USGS	02169810	2008-06-07 17:00	74.25	
USGS	02169810	2008-06-07 17:15	74.26	
USGS	02169810	2008-06-07 17:30	74.26	
USGS	02169810	2008-06-07 17:45	74.25	
USGS	02169810	2008-06-07 18:00	74.32	
USGS	02169810	2008-06-07 18:15	74.26	
USGS	02169810	2008-06-07 18:30	74.27	
USGS	02169810	2008-06-07 18:45	74.29	
USGS	02169810	2008-06-07 19:00	74.27	
USGS	02169810	2008-06-07 19:15	74.30	
USGS	02169810	2008-06-07 19:30	74.30	
USGS	02169810	2008-06-07 19:45	74.32	
USGS	02169810	2008-06-07 20:00	74.30	
USGS	02169810	2008-06-07 20:15	74.30	
USGS	02169810	2008-06-07 20:30	74.31	
USGS	02169810	2008-06-07 20:45	74.30	
USGS	02169810	2008-06-07 21:00	74.30	
USGS	02169810	2008-06-07 21:15	74.30	
USGS	02169810	2008-06-07 21:30	74.30	
USGS	02169810	2008-06-07 21:45	74.30	
USGS	02169810	2008-06-07 22:00	74.29	
USGS	02169810	2008-06-07 22:15	74.30	
USGS	02169810	2008-06-07 22:30	74.30	
USGS	02169810	2008-06-07 22:45	74.30	
USGS	02169810	2008-06-07 23:00	74.30	
USGS	02169810	2008-06-07 23:15	74.30	
USGS	02169810	2008-06-07 23:30	74.31	
USGS	02169810	2008-06-07 23:45	74.31	
USGS	02169810	2008-06-08 00:00	74.31	
USGS	02169810	2008-06-08 00:15	74.31	
USGS	02169810	2008-06-08 00:30	74.31	
USGS	02169810	2008-06-08 00:45	74.30	
USGS	02169810	2008-06-08 01:00	74.30	
USGS	02169810	2008-06-08 01:15	74.29	
USGS	02169810	2008-06-08 01:30	74.29	
USGS	02169810	2008-06-08 01:45	74.28	
USGS	02169810	2008-06-08 02:00	74.28	
USGS	02169810	2008-06-08 02:15	74.27	
USGS	02169810	2008-06-08 02:30	74.26	
USGS	02169810	2008-06-08 02:45	74.26	
USGS	02169810	2008-06-08 03:00	74.25	
USGS	02169810	2008-06-08 03:15	74.24	
USGS	02169810	2008-06-08 03:30	74.24	
USGS	02169810	2008-06-08 03:45	74.23	
USGS	02169810	2008-06-08 04:00	74.22	
USGS	02169810	2008-06-08 04:15	74.22	
USGS	02169810	2008-06-08 04:30	74.22	
USGS	02169810	2008-06-08 04:45	74.22	
USGS	02169810	2008-06-08 05:00	74.21	
USGS	02169810	2008-06-08 05:15	74.21	
USGS	02169810	2008-06-08 05:30	74.21	
USGS	02169810	2008-06-08 05:45	74.21	
USGS	02169810	2008-06-08 06:00	74.21	
USGS	02169810	2008-06-08 06:15	74.21	
USGS	02169810	2008-06-08 06:30	74.21	
USGS	02169810	2008-06-08 06:45	74.21	
USGS	02169810	2008-06-08 07:00	74.21	
USGS	02169810	2008-06-08 07:15	74.21	
USGS	02169810	2008-06-08 07:30	74.21	
USGS	02169810	2008-06-08 07:45	74.21	
USGS	02169810	2008-06-08 08:00	74.21	
USGS	02169810	2008-06-08 08:15	74.21	
USGS	02169810	2008-06-08 08:30	74.21	
USGS	02169810	2008-06-08 08:45	74.20	
USGS	02169810	2008-06-08 09:00	74.20	
USGS	02169810	2008-06-08 09:15	74.19	
USGS	02169810	2008-06-08 09:30	74.19	
USGS	02169810	2008-06-08 09:45	74.17	
USGS	02169810	2008-06-08 10:00	74.18	
USGS	02169810	2008-06-08 10:15	74.18	
USGS	02169810	2008-06-08 10:30	74.17	
USGS	02169810	2008-06-08 10:45	74.16	
USGS	02169810	2008-06-08 11:00	74.16	
USGS	02169810	2008-06-08 11:15	74.15	
USGS	02169810	2008-06-08 11:30	74.15	
USGS	02169810	2008-06-08 11:45	74.15	
USGS	02169810	2008-06-08 12:00	74.15	
USGS	02169810	2008-06-08 12:15	74.15	
USGS	02169810	2008-06-08 12:30	74.15	
USGS	02169810	2008-06-08 12:45	74.16	
USGS	02169810	2008-06-08 13:00	74.16	
USGS	02169810	2008-06-08 13:15	74.16	
USGS	02169810	2008-06-08 13:30	74.17	
USGS	02169810	2008-06-08 13:45	74.17	
USGS	02169810	2008-06-08 14:00	74.17	
USGS	02169810	2008-06-08 14:15	74.18	
USGS	02169810	2008-06-08 14:30	74.21	
USGS	02169810	2008-06-08 14:45	74.17	
USGS	02169810	2008-06-08 15:00	74.17	
USGS	02169810	2008-06-08 15:15	74.15	
USGS	02169810	2008-06-08 15:30	74.18	
USGS	02169810	2008-06-08 15:45	74.17	
USGS	02169810	2008-06-08 16:00	74.18	
USGS	02169810	2008-06-08 16:15	74.18	
USGS	02169810	2008-06-08 16:30	74.14	
USGS	02169810	2008-06-08 16:45	74.18	
USGS	02169810	2008-06-08 17:00	74.19	
USGS	02169810	2008-06-08 17:15	74.18	
USGS	02169810	2008-06-08 17:30	74.19	
USGS	02169810	2008-06-08 17:45	74.21	
USGS	02169810	2008-06-08 18:00	74.21	
USGS	02169810	2008-06-08 18:15	74.21	
USGS	02169810	2008-06-08 18:30	74.19	
USGS	02169810	2008-06-08 18:45	74.22	
USGS	02169810	2008-06-08 19:00	74.22	
USGS	02169810	2008-06-08 19:15	74.22	
USGS	02169810	2008-06-08 19:30	74.22	
USGS	02169810	2008-06-08 19:45	74.22	
USGS	02169810	2008-06-08 20:00	74.22	
USGS	02169810	2008-06-08 20:15	74.22	
USGS	02169810	2008-06-08 20:30	74.22	
USGS	02169810	2008-06-08 20:45	74.22	
USGS	02169810	2008-06-08 21:00	74.22	
USGS	02169810	2008-06-08 21:15	74.21	
USGS	02169810	2008-06-08 21:30	74.21	
USGS	02169810	2008-06-08 21:45	74.21	
USGS	02169810	2008-06-08 22:00	74.21	
USGS	02169810	2008-06-08 22:15	74.21	
USGS	02169810	2008-06-08 22:30	74.21	
USGS	02169810	2008-06-08 22:45	74.21	
USGS	02169810	2008-06-08 23:00	74.21	
USGS	02169810	2008-06-08 23:15	74.21	
USGS	02169810	2008-06-08 23:30	74.21	
USGS	02169810	2008-06-08 23:45	74.21	
USGS	02169810	2008-06-09 00:00	74.21	
USGS	02169810	2008-06-09 00:15	74.21	
USGS	02169810	2008-06-09 00:30	74.21	
USGS	02169810	2008-06-09 00:45	74.21	
USGS	02169810	2008-06-09 01:00	74.20	
USGS	02169810	2008-06-09 01:15	74.20	
USGS	02169810	2008-06-09 01:30	74.20	
USGS	02169810	2008-06-09 01:45	74.20	
USGS	02169810	2008-06-09 02:00	74.19	
USGS	02169810	2008-06-09 02:15	74.19	
USGS	02169810	2008-06-09 02:30	74.18	
USGS	02169810	2008-06-09 02:45	74.18	
USGS	02169810	2008-06-09 03:00	74.18	
USGS	02169810	2008-06-09 03:15	74.17	
USGS	02169810	2008-06-09 03:30	74.17	
USGS	02169810	2008-06-09 03:45	74.16	
USGS	02169810	2008-06-09 04:00	74.16	
USGS	02169810	2008-06-09 04:15	74.15	
USGS	02169810	2008-06-09 04:30	74.15	
USGS	02169810	2008-06-09 04:45	74.10	
USGS	02169810	2008-06-09 05:00	74.14	
USGS	02169810	2008-06-09 05:15	74.14	
USGS	02169810	2008-06-09 05:30	74.14	
USGS	02169810	2008-06-09 05:45	74.15	
USGS	02169810	2008-06-09 06:00	74.14	
USGS	02169810	2008-06-09 06:15	74.14	
USGS	02169810	2008-06-09 06:30	74.13	
USGS	02169810	2008-06-09 06:45	74.13	
USGS	02169810	2008-06-09 07:00	74.13	
USGS	02169810	2008-06-09 07:15	74.13	
USGS	02169810	2008-06-09 07:30	74.13	
USGS	02169810	2008-06-09 07:45	74.13	
USGS	02169810	2008-06-09 08:00	74.14	
USGS	02169810	2008-06-09 08:15	74.13	
USGS	02169810	2008-06-09 08:30	74.12	
USGS	02169810	2008-06-09 08:45	74.14	
USGS	02169810	2008-06-09 09:00	74.14	
USGS	02169810	2008-06-09 09:15	74.13	
USGS	02169810	2008-06-09 09:30	74.13	
USGS	02169810	2008-06-09 09:45	74.12	
USGS	02169810	2008-06-09 10:00	74.11	
USGS	02169810	2008-06-09 10:15	74.11	
USGS	02169810	2008-06-09 10:30	74.10	
USGS	02169810	2008-06-09 10:45	74.09	
USGS	02169810	2008-06-09 11:00	74.09	
USGS	02169810	2008-06-09 11:15	74.09	
USGS	02169810	2008-06-09 11:30	74.09	
USGS	02169810	2008-06-09 11:45	74.09	
USGS	02169810	2008-06-09 12:00	74.09	
USGS	02169810	2008-06-09 12:15	74.10	
USGS	02169810	2008-06-09 12:30	74.10	
USGS	02169810	2008-06-09 12:45	74.10	
USGS	02169810	2008-06-09 13:00	74.11	
USGS	02169810	2008-06-09 13:15	74.12	
USGS	02169810	2008-06-09 13:30	74.12	
USGS	02169810	2008-06-09 13:45	74.13	
USGS	02169810	2008-06-09 14:00	74.13	
USGS	02169810	2008-06-09 14:15	74.13	
USGS	02169810	2008-06-09 14:30	74.13	
USGS	02169810	2008-06-09 14:45	74.14	
USGS	02169810	2008-06-09 15:00	74.14	
USGS	02169810	2008-06-09 15:15	74.14	
USGS	02169810	2008-06-09 15:30	74.14	
USGS	02169810	2008-06-09 15:45	74.15	
USGS	02169810	2008-06-09 16:00	74.15	
USGS	02169810	2008-06-09 16:15	74.16	
USGS	02169810	2008-06-09 16:30	74.15	
USGS	02169810	2008-06-09 16:45	74.16	
USGS	02169810	2008-06-09 17:00	74.16	
USGS	02169810	2008-06-09 17:15	74.16	
USGS	02169810	2008-06-09 17:30	74.16	
USGS	02169810	2008-06-09 17:45	74.16	
USGS	02169810	2008-06-09 18:00	74.16	
USGS	02169810	2008-06-09 18:15	74.16	
USGS	02169810	2008-06-09 18:30	74.16	
USGS	02169810	2008-06-09 18:45	74.15	
USGS	02169810	2008-06-09 19:00	74.16	
USGS	02169810	2008-06-09 19:15	74.16	
USGS	02169810	2008-06-09 19:30	74.16	
USGS	02169810	2008-06-09 19:45	74.16	
USGS	02169810	2008-06-09 20:00	74.16	
USGS	02169810	2008-06-09 20:15	74.15	
USGS	02169810	2008-06-09 20:30	74.16	
USGS	02169810	2008-06-09 20:45	74.16	
USGS	02169810	2008-06-09 21:00	74.16	
USGS	02169810	2008-06-09 21:15	74.17	
USGS	02169810	2008-06-09 21:30	74.17	
USGS	02169810	2008-06-09 21:45	74.17	
USGS	02169810	2008-06-09 22:00	74.18	
USGS	02169810	2008-06-09 22:15	74.18	
USGS	02169810	2008-06-09 22:30	74.19	
USGS	02169810	2008-06-09 22:45	74.19	
USGS	02169810	2008-06-09 23:00	74.19	
USGS	02169810	2008-06-09 23:15	74.20	
USGS	02169810	2008-06-09 23:30	74.19	
USGS	02169810	2008-06-09 23:45	74.19	
USGS	02169810	2008-06-10 00:00	74.19	
USGS	02169810	2008-06-10 00:15	74.18	
USGS	02169810	2008-06-10 00:30	74.18	
USGS	02169810	2008-06-10 00:45	74.17	
USGS	02169810	2008-06-10 01:00	74.17	
USGS	02169810	2008-06-10 01:15	74.15	
USGS	02169810	2008-06-10 01:30	74.14	
USGS	02169810	2008-06-10 01:45	74.14	
USGS	02169810	2008-06-10 02:00	74.13	
USGS	02169810	2008-06-10 02:15	74.12	
USGS	02169810	2008-06-10 02:30	74.12	
USGS	02169810	2008-06-10 02:45	74.11	
USGS	02169810	2008-06-10 03:00	74.10	
USGS	02169810	2008-06-10 03:15	74.10	
USGS	02169810	2008-06-10 03:30	74.10	
USGS	02169810	2008-06-10 03:45	74.10	
USGS	02169810	2008-06-10 04:00	74.10	
USGS	02169810	2008-06-10 04:15	74.10	
USGS	02169810	2008-06-10 04:30	74.10	
USGS	02169810	2008-06-10 04:45	74.10	
USGS	02169810	2008-06-10 05:00	74.10	
USGS	02169810	2008-06-10 05:15	74.10	
USGS	02169810	2008-06-10 05:30	74.10	
USGS	02169810	2008-06-10 05:45	74.11	
USGS	02169810	2008-06-10 06:00	74.11	
USGS	02169810	2008-06-10 06:15	74.11	
USGS	02169810	2008-06-10 06:30	74.12	
USGS	02169810	2008-06-10 06:45	74.11	
USGS	02169810	2008-06-10 07:00	74.12	
USGS	02169810	2008-06-10 07:15	74.12	
USGS	02169810	2008-06-10 07:30	74.11	
USGS	02169810	2008-06-10 07:45	74.11	
USGS	02169810	2008-06-10 08:00	74.13	
USGS	02169810	2008-06-10 08:15	74.12	
USGS	02169810	2008-06-10 08:30	74.11	
USGS	02169810	2008-06-10 08:45	74.11	
USGS	02169810	2008-06-10 09:00	74.11	
USGS	02169810	2008-06-10 09:15	74.11	
USGS	02169810	2008-06-10 09:30	74.10	
USGS	02169810	2008-06-10 09:45	74.10	
USGS	02169810	2008-06-10 10:00	74.10	
USGS	02169810	2008-06-10 10:15	74.09	
USGS	02169810	2008-06-10 10:30	74.09	
USGS	02169810	2008-06-10 10:45	74.09	
USGS	02169810	2008-06-10 11:00	74.09	
USGS	02169810	2008-06-10 11:15	74.09	
USGS	02169810	2008-06-10 11:30	74.09	
USGS	02169810	2008-06-10 11:45	74.09	
USGS	02169810	2008-06-10 12:00	74.10	
USGS	02169810	2008-06-10 12:15	74.10	
USGS	02169810	2008-06-10 12:30	74.10	
USGS	02169810	2008-06-10 12:45	74.10	
USGS	02169810	2008-06-10 13:00	74.11	
USGS	02169810	2008-06-10 13:15	74.12	
USGS	02169810	2008-06-10 13:30	74.13	
USGS	02169810	2008-06-10 13:45	74.13	
USGS	02169810	2008-06-10 14:00	74.13	
USGS	02169810	2008-06-10 14:15	74.14	
USGS	02169810	2008-06-10 14:30	74.14	
USGS	02169810	2008-06-10 14:45	74.15	
USGS	02169810	2008-06-10 15:00	74.16	
USGS	02169810	2008-06-10 15:15	74.18	
USGS	02169810	2008-06-10 15:30	74.17	
USGS	02169810	2008-06-10 15:45	74.17	
USGS	02169810	2008-06-10 16:00	74.17	
USGS	02169810	2008-06-10 16:15	74.17	
USGS	02169810	2008-06-10 16:30	74.18	
USGS	02169810	2008-06-10 16:45	74.13	
USGS	02169810	2008-06-10 17:00	74.18	
USGS	02169810	2008-06-10 17:15	74.18	
USGS	02169810	2008-06-10 17:30	74.19	
USGS	02169810	2008-06-10 17:45	74.20	
USGS	02169810	2008-06-10 18:00	74.21	
USGS	02169810	2008-06-10 18:15	74.22	
USGS	02169810	2008-06-10 18:30	74.22	
USGS	02169810	2008-06-10 18:45	74.22	
USGS	02169810	2008-06-10 19:00	74.25	
USGS	02169810	2008-06-10 19:15	74.26	
USGS	02169810	2008-06-10 19:30	74.29	
USGS	02169810	2008-06-10 19:45	74.31	
USGS	02169810	2008-06-10 20:00	74.33	
USGS	02169810	2008-06-10 20:15	74.36	
USGS	02169810	2008-06-10 20:30	74.37	
USGS	02169810	2008-06-10 20:45	74.36	
USGS	02169810	2008-06-10 21:00	74.32	
USGS	02169810	2008-06-10 21:15	74.33	
USGS	02169810	2008-06-10 21:30	74.33	
USGS	02169810	2008-06-10 21:45	74.35	
USGS	02169810	2008-06-10 22:00	74.35	
USGS	02169810	2008-06-10 22:15	74.33	
USGS	02169810	2008-06-10 22:30	74.32	
USGS	02169810	2008-06-10 22:45	74.30	
USGS	02169810	2008-06-10 23:00	74.28	
USGS	02169810	2008-06-10 23:15	74.27	
USGS	02169810	2008-06-10 23:30	74.26	
USGS	02169810	2008-06-10 23:45	74.23	
USGS	02169810	2008-06-11 00:00	74.21	
USGS	02169810	2008-06-11 00:15	74.20	
USGS	02169810	2008-06-11 00:30	74.18	
USGS	02169810	2008-06-11 00:45	74.18	
USGS	02169810	2008-06-11 01:00	74.17	
USGS	02169810	2008-06-11 01:15	74.17	
USGS	02169810	2008-06-11 01:30	74.18	
USGS	02169810	2008-06-11 01:45	74.20	
USGS	02169810	2008-06-11 02:00	74.21	
USGS	02169810	2008-06-11 02:15	74.23	
USGS	02169810	2008-06-11 02:30	74.25	
USGS	02169810	2008-06-11 02:45	74.25	
USGS	02169810	2008-06-11 03:00	74.26	
USGS	02169810	2008-06-11 03:15	74.25	
USGS	02169810	2008-06-11 03:30	74.25	
USGS	02169810	2008-06-11 03:45	74.25	
USGS	02169810	2008-06-11 04:00	74.24	
USGS	02169810	2008-06-11 04:15	74.23	
USGS	02169810	2008-06-11 04:30	74.22	
USGS	02169810	2008-06-11 04:45	74.22	
USGS	02169810	2008-06-11 05:00	74.21	
USGS	02169810	2008-06-11 05:15	74.19	
USGS	02169810	2008-06-11 05:30	74.19	
USGS	02169810	2008-06-11 05:45	74.18	
USGS	02169810	2008-06-11 06:00	74.18	
USGS	02169810	2008-06-11 06:15	74.18	
USGS	02169810	2008-06-11 06:30	74.17	
USGS	02169810	2008-06-11 06:45	74.17	
USGS	02169810	2008-06-11 07:00	74.16	
USGS	02169810	2008-06-11 07:15	74.16	
USGS	02169810	2008-06-11 07:30	74.16	
USGS	02169810	2008-06-11 07:45	74.16	
USGS	02169810	2008-06-11 08:00	74.16	
USGS	02169810	2008-06-11 08:15	74.15	
USGS	02169810	2008-06-11 08:30	74.16	
USGS	02169810	2008-06-11 08:45	74.15	
USGS	02169810	2008-06-11 09:00	74.16	
USGS	02169810	2008-06-11 09:15	74.14	
USGS	02169810	2008-06-11 09:30	74.16	
USGS	02169810	2008-06-11 09:45	74.16	
USGS	02169810	2008-06-11 10:00	74.15	
USGS	02169810	2008-06-11 10:15	74.16	
USGS	02169810	2008-06-11 10:30	74.15	
USGS	02169810	2008-06-11 10:45	74.16	
USGS	02169810	2008-06-11 11:00	74.16	
USGS	02169810	2008-06-11 11:15	74.15	
USGS	02169810	2008-06-11 11:30	74.15	
USGS	02169810	2008-06-11 11:45	74.15	
USGS	02169810	2008-06-11 12:00	74.16	
USGS	02169810	2008-06-11 12:15	74.15	
USGS	02169810	2008-06-11 12:30	74.16	
USGS	02169810	2008-06-11 12:45	74.16	
USGS	02169810	2008-06-11 13:00	74.16	
USGS	02169810	2008-06-11 13:15	74.17	
USGS	02169810	2008-06-11 13:30	74.17	
USGS	02169810	2008-06-11 13:45	74.26	
USGS	02169810	2008-06-11 14:00	74.18	
USGS	02169810	2008-06-11 14:15	74.18	
USGS	02169810	2008-06-11 14:30	74.17	
USGS	02169810	2008-06-11 14:45	74.17	
USGS	02169810	2008-06-11 15:00	74.20	
USGS	02169810	2008-06-11 15:15	74.20	
USGS	02169810	2008-06-11 15:30	74.18	
USGS	02169810	2008-06-11 15:45	74.19	
USGS	02169810	2008-06-11 16:00	74.18	
USGS	02169810	2008-06-11 16:15	74.19	
USGS	02169810	2008-06-11 16:30	74.18	
