Delete,Identifying Number,Title,Description,Website,Directions,Category,Subcategory,Order,Freeform Address,Phone Number,Street1,Street2,Zipcode,Neighborhood,City,State,Country,Latitude,Longitude,Photo Url,Photo Width,Photo Height,Photo Title,Photo Description,Link
,1096219,"BEAVERDAM RUN AT COCKEYSVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.485583,-76.645722,,,,,,http://www.communitywalk.com/map/143898#00044;XK
,1096220,"TOWN CREEK NEAR OLDTOWN, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.553222,-78.555,,,,,,http://www.communitywalk.com/map/143898#00044;XL
,1096221,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.637389,-75.727889,,,,,,http://www.communitywalk.com/map/143898#00044;XM
,1096222,"LITTLE BLACKWATER RIVER NR CAMBRIDGE, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.501667,-76.094167,,,,,,http://www.communitywalk.com/map/143898#00044;XN
,1096223,"NORTH BRANCH POTOMAC RIVER AT KITZMILLER, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.393889,-79.181694,,,,,,http://www.communitywalk.com/map/143898#00044;XO
,1096224,"LONG GREEN CREEK AT GLEN ARM, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.454694,-76.478889,,,,,,http://www.communitywalk.com/map/143898#00044;XP
,1096225,"POTOMAC RIVER AT PAW PAW, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.538917,-78.456389,,,,,,http://www.communitywalk.com/map/143898#00044;XQ
,1096226,"White Clay Creek near Strickersville, PA",,,FALSE,Other Streams,,,,,,,,,,,,39.7475,-75.770833,,,,,,http://www.communitywalk.com/map/143898#00044;XR
,1096227,"LITTLE BLACKWATER RIVER AT SEWARD, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.445278,-76.083889,,,,,,http://www.communitywalk.com/map/143898#00044;XS
,1096228,"NORTH BRANCH POTOMAC RIVER AT BARNUM, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.445111,-79.110806,,,,,,http://www.communitywalk.com/map/143898#00044;XT
,1096229,"WHITE CLAY CREEK AT NEWARK, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.689222,-75.74875,,,,,,http://www.communitywalk.com/map/143898#00044;XU
,1096230,"CHOPTANK RIVER NEAR GREENSBORO, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.997194,-75.785806,,,,,,http://www.communitywalk.com/map/143898#00044;XV
,1096231,"SAVAGE RIVER NEAR BARTON, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.570056,-79.101944,,,,,,http://www.communitywalk.com/map/143898#00044;XW
,1096232,"SENECA CREEK AT DAWSONVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.128083,-77.335778,,,,,,http://www.communitywalk.com/map/143898#00044;XX
,1096233,"WHITEMARSH RUN NEAR FULLERTON, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.379583,-76.495806,,,,,,http://www.communitywalk.com/map/143898#00044;XY
,1096234,"SIDELING HILL CREEK NEAR BELLEGROVE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.649528,-78.344139,,,,,,http://www.communitywalk.com/map/143898#00044;XZ
,1096235,"WHITE CLAY CREEK NEAR NEWARK, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.699222,-75.675028,,,,,,http://www.communitywalk.com/map/143898#00044;X[
,1096236,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.50275,-79.123972,,,,,,http://www.communitywalk.com/map/143898#00044;X\
,1096237,"CHRISTINA RIVER AT NEWPORT, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.710639,-75.608722,,,,,,http://www.communitywalk.com/map/143898#00044;X]
,1096238,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",,,FALSE,Other Streams,,,,,,,,,,,,38.949778,-77.127639,,,,,,http://www.communitywalk.com/map/143898#00044;X^
,1096239,"NORTH FORK WHITEMARSH RUN NEAR WHITE MARSH, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.385889,-76.468861,,,,,,http://www.communitywalk.com/map/143898#00044;X_
,1096240,"WAITES RUN NEAR WARDENSVILLE, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.042722,-78.598333,,,,,,http://www.communitywalk.com/map/143898#00044;X`
,1096241,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.479194,-79.065,,,,,,http://www.communitywalk.com/map/143898#00044;Xa
,1096242,"CHRISTINA RIVER AT WILMINGTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.736225,-75.540172,,,,,,http://www.communitywalk.com/map/143898#00044;Xb
,1096243,"POTOMAC RIVER AT WISCONSIN AVE, WASHINGTON, DC",,,FALSE,Other Streams,,,,,,,,,,,,38.902333,-77.06275,,,,,,http://www.communitywalk.com/map/143898#00044;Xc
,1096244,"WHITEMARSH RUN AT WHITE MARSH, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.370528,-76.445917,,,,,,http://www.communitywalk.com/map/143898#00044;Xd
,1096245,"CACAPON RIVER NEAR GREAT CACAPON, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.582316,-78.309731,,,,,,http://www.communitywalk.com/map/143898#00044;Xe
,1096246,"Red Clay Creek near Kennett Square, PA",,,FALSE,Other Streams,,,,,,,,,,,,39.816777,-75.691601,,,,,,http://www.communitywalk.com/map/143898#00044;Xf
,1096247,"TUCKAHOE CREEK NEAR RUTHSBURG, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.966806,-75.943056,,,,,,http://www.communitywalk.com/map/143898#00044;Xg
,1096248,"GEORGES CREEK AT FRANKLIN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.493917,-79.044694,,,,,,http://www.communitywalk.com/map/143898#00044;Xh
,1096249,"TURKEY BRANCH NEAR ROCKVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.068581,-77.081451,,,,,,http://www.communitywalk.com/map/143898#00044;Xi
,1096250,"POTOMAC RIVER AT HANCOCK, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.697556,-78.177889,,,,,,http://www.communitywalk.com/map/143898#00044;Xj
,1096251,"RED CLAY CREEK AT WOODDALE, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.762806,-75.6365,,,,,,http://www.communitywalk.com/map/143898#00044;Xk
,1096252,"SALLIE HARRIS CREEK NEAR CARMICHAEL, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.964889,-76.108833,,,,,,http://www.communitywalk.com/map/143898#00044;Xl
,1096253,"Brandywine Creek at Chadds Ford, PA",,,FALSE,Other Streams,,,,,,,,,,,,39.869833,-75.593262,,,,,,http://www.communitywalk.com/map/143898#00044;Xm
,1096254,"PAINT BRANCH TRIBUTARY NEAR COLESVILLE, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.088497,-76.989282,,,,,,http://www.communitywalk.com/map/143898#00044;Xn
,1096255,"LICKING CREEK AT PECTONVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.677694,-78.036528,,,,,,http://www.communitywalk.com/map/143898#00044;Xo
,1096256,"RED CLAY CREEK NEAR STANTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.71575,-75.639944,,,,,,http://www.communitywalk.com/map/143898#00044;Y0
,1096257,"UNICORN BRANCH NEAR MILLINGTON, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.249694,-75.861306,,,,,,http://www.communitywalk.com/map/143898#00044;Y1
,1096258,"BRANDYWINE CREEK AT WILMINGTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.769417,-75.573278,,,,,,http://www.communitywalk.com/map/143898#00044;Y2
,1096259,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.96025,-76.925972,,,,,,http://www.communitywalk.com/map/143898#00044;Y3
,1096260,"POTOMAC RIVER AT WILLIAMSPORT, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.608985,-77.847496,,,,,,http://www.communitywalk.com/map/143898#00044;Y4
,1096261,"HONEYGO RUN NEAR WHITE MARSH, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.383,-76.432972,,,,,,http://www.communitywalk.com/map/143898#00044;Y5
,1096262,"DELAWARE RIV BELOW CHRISTINA RIV AT WILMINGTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.716667,-75.516556,,,,,,http://www.communitywalk.com/map/143898#00044;Y6
,1096263,"NW BRANCH ANACOSTIA RIVER NEAR HYATTSVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.952333,-76.966056,,,,,,http://www.communitywalk.com/map/143898#00044;Y7
,1096264,"WEST BRANCH HERRING RUN AT IDLEWYLDE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.373639,-76.584333,,,,,,http://www.communitywalk.com/map/143898#00044;Y8
,1096265,"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.716389,-77.824778,,,,,,http://www.communitywalk.com/map/143898#00044;Y9
,1096266,"MORGAN CREEK NEAR KENNEDYVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.280028,-76.014556,,,,,,http://www.communitywalk.com/map/143898#00044;Y:
,1096267,"SILVER LAKE TRIBUTARY AT MIDDLETOWN, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.430778,-75.722639,,,,,,http://www.communitywalk.com/map/143898#00044;Y;
,1096268,"ANACOSTIA RIVER AQUATIC GARDENS AT WASHINGTON, DC",,,FALSE,Other Streams,,,,,,,,,,,,38.9145,-76.9505,,,,,,http://www.communitywalk.com/map/143898#00044;Y<
,1096269,"MOORES RUN TRIB. NEAR TODD AVE AT BALTIMORE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.336694,-76.540611,,,,,,http://www.communitywalk.com/map/143898#00044;Y=
,1096270,"OPEQUON CREEK NEAR MARTINSBURG, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.42371,-77.938608,,,,,,http://www.communitywalk.com/map/143898#00044;Yq
,1096271,"THREE BRIDGES BRANCH AT CENTREVILLE, MARYLAND",,,FALSE,Other Streams,,,,,,,,,,,,39.054083,-76.054667,,,,,,http://www.communitywalk.com/map/143898#00044;Yp
,1096272,"ST JONES RIVER AT DOVER, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.163722,-75.519083,,,,,,http://www.communitywalk.com/map/143898#00044;Y@
,1096273,"WATTS BRANCH AT WASHINGTON, DC",,,FALSE,Other Streams,,,,,,,,,,,,38.901111,-76.942194,,,,,,http://www.communitywalk.com/map/143898#00044;YA
,1096274,"MOORES RUN AT RADECKE AVE AT BALTIMORE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.330083,-76.534889,,,,,,http://www.communitywalk.com/map/143898#00044;YB
,1096275,"MURDERKILL RIVER NEAR FELTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.975947,-75.567147,,,,,,http://www.communitywalk.com/map/143898#00044;YC
,1096276,"FOURMILE RUN AT ALEXANDRIA, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.843333,-77.085861,,,,,,http://www.communitywalk.com/map/143898#00044;YD
,1096277,"CRANBERRY BRANCH NEAR WESTMINSTER, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.593333,-76.967528,,,,,,http://www.communitywalk.com/map/143898#00044;YE
,1096278,"BIG ELK CREEK AT ELK MILLS, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.657056,-75.822361,,,,,,http://www.communitywalk.com/map/143898#00044;YF
,1096279,"BROWNS BRANCH NEAR HARRINGTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.952056,-75.522556,,,,,,http://www.communitywalk.com/map/143898#00044;YG
,1096280,"NORTH BRANCH PATAPSCO RIVER AT CEDARHURST, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.503667,-76.884861,,,,,,http://www.communitywalk.com/map/143898#00044;YH
,1096281,"Susquehanna River at Harrisburg, PA",,,FALSE,Other Streams,,,,,,,,,,,,40.254812,-76.886085,,,,,,http://www.communitywalk.com/map/143898#00044;YI
,1096282,"PRATT BRANCH NEAR FELTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.010278,-75.528972,,,,,,http://www.communitywalk.com/map/143898#00044;YJ
,1096283,"BEAVER RUN NEAR FINKSBURG, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.489444,-76.902944,,,,,,http://www.communitywalk.com/map/143898#00044;YK
,1096284,"MARSH RUN AT GRIMES, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.514556,-77.777222,,,,,,http://www.communitywalk.com/map/143898#00044;YL
,1096285,"Susquehanna River at Marietta, PA",,,FALSE,Other Streams,,,,,,,,,,,,40.054541,-76.530799,,,,,,http://www.communitywalk.com/map/143898#00044;YM
,1096286,"GWYNNS FALLS NEAR DELIGHT, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.442944,-76.783417,,,,,,http://www.communitywalk.com/map/143898#00044;YN
,1096287,"ANTIETAM CREEK NEAR WAYNESBORO, PA",,,FALSE,Other Streams,,,,,,,,,,,,39.716484,-77.607492,,,,,,http://www.communitywalk.com/map/143898#00044;YO
,1096288,"Conestoga River at Conestoga, PA",,,FALSE,Other Streams,,,,,,,,,,,,39.946489,-76.367739,,,,,,http://www.communitywalk.com/map/143898#00044;YP
,1096289,"CAMERON RUN AT ALEXANDRIA, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.806502,-77.109701,,,,,,http://www.communitywalk.com/map/143898#00044;YQ
,1096290,"ANTIETAM CREEK NEAR SHARPSBURG, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.449778,-77.730194,,,,,,http://www.communitywalk.com/map/143898#00044;YR
,1096291,"SUSQUEHANNA RIVER AT CONOWINGO, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.657913,-76.174175,,,,,,http://www.communitywalk.com/map/143898#00044;YS
,1096292,"GWYNNS FALLS TRIBUTARY AT MCDONOGH, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.400444,-76.770444,,,,,,http://www.communitywalk.com/map/143898#00044;YT
,1096293,"PISCATAWAY CREEK AT PISCATAWAY, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.705778,-76.966194,,,,,,http://www.communitywalk.com/map/143898#00044;YU
,1096294,"POTOMAC RIVER AT HARPERS FERRY, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.323611,-77.728611,,,,,,http://www.communitywalk.com/map/143898#00044;YV
,1096295,"MURDERKILL RIVER AT FREDERICA, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.011224,-75.459087,,,,,,http://www.communitywalk.com/map/143898#00044;YW
,1096296,"MUDDY CREEK AT MOUNT CLINTON, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.48679,-78.960307,,,,,,http://www.communitywalk.com/map/143898#00044;YX
,1096297,"SCOTTS LEVEL BRANCH AT ROCKDALE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.361717,-76.761446,,,,,,http://www.communitywalk.com/map/143898#00044;YY
,1096298,"ACCOTINK CREEK NEAR ANNANDALE, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.812891,-77.228316,,,,,,http://www.communitywalk.com/map/143898#00044;YZ
,1096299,"BROCKONBRIDGE GUT NEAR SOUTH BOWERS, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.050333,-75.391306,,,,,,http://www.communitywalk.com/map/143898#00044;Y[
,1096300,"Octoraro Creek near Richardsmere, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.706775,-76.115229,,,,,,http://www.communitywalk.com/map/143898#00044;Y\
,1096301,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.914001,-78.210834,,,,,,http://www.communitywalk.com/map/143898#00044;Y]
,1096302,"MATTAWOMAN CREEK NEAR POMONKEY, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.596139,-77.056028,,,,,,http://www.communitywalk.com/map/143898#00044;Y^
,1096303,"MURDERKILL RIVER AT BOWERS, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.058306,-75.397611,,,,,,http://www.communitywalk.com/map/143898#00044;Y_
,1096304,"DEER CREEK AT ROCKS, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.629972,-76.403306,,,,,,http://www.communitywalk.com/map/143898#00044;Y`
,1096305,"N F SHENANDOAH RIVER AT COOTES STORE, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.637063,-78.852803,,,,,,http://www.communitywalk.com/map/143898#00044;Ya
,1096306,"POTOMAC RIVER NEAR NEWBURG, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.365182,-76.981779,,,,,,http://www.communitywalk.com/map/143898#00044;Yb
,1096307,"ZEKIAH SWAMP RUN NEAR NEWTOWN, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.490583,-76.927083,,,,,,http://www.communitywalk.com/map/143898#00044;Yc
,1096308,"MILLSBORO POND OUTLET AT MILLSBORO, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.594556,-75.291028,,,,,,http://www.communitywalk.com/map/143898#00044;Yd
,1096309,"DEER CREEK NEAR DARLINGTON, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.617444,-76.191861,,,,,,http://www.communitywalk.com/map/143898#00044;Ye
,1096310,"GWYNNS FALLS AT VILLA NOVA, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.345889,-76.733194,,,,,,http://www.communitywalk.com/map/143898#00044;Yf
,1096311,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",,,FALSE,Other Streams,,,,,,,,,,,,38.976776,-78.336115,,,,,,http://www.communitywalk.com/map/143898#00044;Yg
,1096312,"ST CLEMENT CREEK NEAR CLEMENTS, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.333306,-76.725,,,,,,http://www.communitywalk.com/map/143898#00044;Yh
,1096313,"BYNUM RUN AT BEL AIR, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.541472,-76.330111,,,,,,http://www.communitywalk.com/map/143898#00044;Yi
,1096314,"SHENANDOAH RIVER AT MILLVILLE, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.282046,-77.789161,,,,,,http://www.communitywalk.com/map/143898#00044;Yj
,1096315,"POWDER MILL RUN NEAR LOCHEARN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.335134,-76.710277,,,,,,http://www.communitywalk.com/map/143898#00044;Yk
,1096316,"INDIAN RIVER AT ROSEDALE BEACH, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.591528,-75.211583,,,,,,http://www.communitywalk.com/map/143898#00044;Yl
,1096317,"REHOBOTH BAY AT DEWEY BEACH, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.694222,-75.084222,,,,,,http://www.communitywalk.com/map/143898#00044;Ym
,1096318,"CATOCTIN CREEK NEAR MIDDLETOWN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.42725,-77.556167,,,,,,http://www.communitywalk.com/map/143898#00044;Yn
,1096319,"ST MARYS RIVER AT GREAT MILLS, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.24175,-76.503667,,,,,,http://www.communitywalk.com/map/143898#00044;Yo
,1096320,"DEAD RUN AT FRANKLINTOWN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.311222,-76.716639,,,,,,http://www.communitywalk.com/map/143898#00044;Z0
,1096321,"JAMES RUN NEAR BELCAMP, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.492194,-76.259111,,,,,,http://www.communitywalk.com/map/143898#00044;Z1
